energy#1, (U= 1500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  98   0.65413908E+01     -0.16483471E+00       0.35248937E+02        0.21884397E+06      0.37641568E-01      0.33961004E-04       0       0
 100   0.66748886E+01     -0.29188420E+00       0.34792218E+02        0.21944771E+06      0.43449502E-01      0.35960985E-04       0       0
 102   0.68083863E+01     -0.43185779E+00       0.34068476E+02        0.22014089E+06      0.51284653E-01      0.38293242E-04       0       0
 104   0.69418841E+01     -0.58959683E+00       0.33047022E+02        0.22099060E+06      0.58247932E-01      0.40949839E-04       0       0
 106   0.70753819E+01     -0.77460330E+00       0.31682821E+02        0.22213099E+06      0.60826395E-01      0.43864780E-04       0       0
 108   0.72088796E+01     -0.10058550E+01       0.29902363E+02        0.22376332E+06      0.64246676E-01      0.46790824E-04       0       0
 110   0.73423774E+01     -0.13332527E+01       0.27563255E+02        0.22640188E+06      0.61051183E-01      0.49049353E-04       0       0
 112   0.74758752E+01     -0.20365198E+01       0.24193483E+02        0.23132123E+06      0.42385159E-01      0.48028761E-04       0       0
 114   0.76093730E+01     -0.58164412E+00       0.21575319E+02        0.22358444E+06      0.16571079E-01      0.13950623E-06       0       0
 116   0.77428707E+01     -0.31040290E+00       0.20683272E+02        0.22143781E+06      0.12908645E-01      0.86214968E-07       0       0
 118   0.78763685E+01     -0.24686465E+00       0.20126004E+02        0.22049866E+06      0.10666015E-01      0.75653395E-07       0       0
 120   0.80098663E+01     -0.24086734E+00       0.19638272E+02        0.22014089E+06      0.11402125E-01      0.71849704E-07       0       0
 122   0.81433640E+01     -0.26522264E+00       0.19132182E+02        0.22011853E+06      0.11744441E-01      0.70018946E-07       0       0
 124   0.82768618E+01     -0.31089018E+00       0.18556070E+02        0.22036450E+06      0.11414903E-01      0.68537553E-07       0       0
 126   0.84103596E+01     -0.37420864E+00       0.17870971E+02        0.22083407E+06      0.10699377E-01      0.66606565E-07       0       0
 128   0.85438574E+01     -0.44910788E+00       0.17047654E+02        0.22141545E+06      0.98423674E-02      0.62885808E-07       0       0
 130   0.86773551E+01     -0.52405600E+00       0.16074490E+02        0.22206391E+06      0.89112720E-02      0.56020744E-07       0       0
 132   0.88108529E+01     -0.59286645E+00       0.14957568E+02        0.22271237E+06      0.80023047E-02      0.45736792E-07       0       0
 134   0.89443507E+01     -0.64221496E+00       0.13722486E+02        0.22327139E+06      0.72283252E-02      0.32808001E-07       0       0
 136   0.90778484E+01     -0.64378491E+00       0.12436487E+02        0.22347263E+06      0.62521971E-02      0.19649860E-07       0       0
 138   0.92113462E+01     -0.56367453E+00       0.11229027E+02        0.22291362E+06      0.57480942E-02      0.98072661E-08       0       0
 140   0.93448440E+01     -0.42682278E+00       0.10238530E+02        0.22177322E+06      0.52809226E-02      0.48258952E-08       0       0
 142   0.94783418E+01     -0.32080718E+00       0.94908999E+01        0.22081171E+06      0.44778600E-02      0.28736569E-08       0       0
 144   0.96118395E+01     -0.25623186E+00       0.89138608E+01        0.22023034E+06      0.35906486E-02      0.20071500E-08       0       0
 146   0.97453373E+01     -0.21569943E+00       0.84419295E+01        0.21987256E+06      0.28416317E-02      0.15409451E-08       0       0
