energy#1, (U= 500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.12627996E+02     -0.95833912E-02       0.87277200E-01        0.46344119E+05      0.43844826E-02      0.79953835E-06       0       0
  50   0.12885710E+02     -0.84293711E-02       0.78270819E-01        0.46127232E+05      0.37018842E-02      0.76129973E-06       0       0
  51   0.13143424E+02     -0.74330788E-02       0.70339594E-01        0.45902599E+05      0.31352569E-02      0.74630084E-06       0       0
  52   0.13401139E+02     -0.65677598E-02       0.63339175E-01        0.45677966E+05      0.26632389E-02      0.71066319E-06       0       0
  53   0.13658853E+02     -0.58219721E-02       0.57144309E-01        0.45445587E+05      0.22685652E-02      0.68467632E-06       0       0
  54   0.13916567E+02     -0.51779252E-02       0.51644360E-01        0.45213208E+05      0.19376580E-02      0.65988059E-06       0       0
  55   0.14174281E+02     -0.46095264E-02       0.46750634E-01        0.44973083E+05      0.16586482E-02      0.62931098E-06       0       0
  56   0.14431996E+02     -0.41156948E-02       0.42388024E-01        0.44725212E+05      0.14235765E-02      0.61402119E-06       0       0
  57   0.14689710E+02     -0.36873744E-02       0.38486489E-01        0.44477341E+05      0.12245060E-02      0.58106426E-06       0       0
  58   0.14947424E+02     -0.33086243E-02       0.34988489E-01        0.44221724E+05      0.10552496E-02      0.55778946E-06       0       0
  59   0.15205138E+02     -0.29729461E-02       0.31847704E-01        0.43958361E+05      0.91138362E-03      0.53673517E-06       0       0
  60   0.15462852E+02     -0.26757749E-02       0.29023344E-01        0.43694998E+05      0.78849695E-03      0.50973974E-06       0       0
  61   0.15720567E+02     -0.24138846E-02       0.26478514E-01        0.43423889E+05      0.68321688E-03      0.49320330E-06       0       0
  62   0.15978281E+02     -0.21795973E-02       0.24181773E-01        0.43145034E+05      0.59305197E-03      0.46435982E-06       0       0
  63   0.16235995E+02     -0.19724828E-02       0.22105733E-01        0.42858434E+05      0.51564250E-03      0.44121806E-06       0       0
  64   0.16493709E+02     -0.17879018E-02       0.20225541E-01        0.42560000E+05      0.44896191E-03      0.42298758E-06       0       0
  65   0.16751423E+02     -0.16216387E-02       0.18520770E-01        0.42269740E+05      0.39139431E-03      0.39940691E-06       0       0
  66   0.17009138E+02     -0.14740215E-02       0.16972940E-01        0.41967648E+05      0.34162902E-03      0.37606473E-06       0       0
  67   0.17266852E+02     -0.13415294E-02       0.15565165E-01        0.41657809E+05      0.29853455E-03      0.35409642E-06       0       0
  68   0.17524566E+02     -0.12225126E-02       0.14283144E-01        0.41340224E+05      0.26116959E-03      0.33289036E-06       0       0
  69   0.17782280E+02     -0.11159176E-02       0.13113929E-01        0.41014894E+05      0.22867517E-03      0.31830130E-06       0       0
  70   0.18039994E+02     -0.10192708E-02       0.12046335E-01        0.40681817E+05      0.20045360E-03      0.29585090E-06       0       0
  71   0.18297709E+02     -0.93225540E-03       0.11070571E-01        0.40348741E+05      0.17585622E-03      0.27745388E-06       0       0
  72   0.18555423E+02     -0.85384414E-03       0.10177522E-01        0.40000172E+05      0.15438070E-03      0.26228080E-06       0       0
  73   0.18813137E+02     -0.78237387E-03       0.93594127E-02        0.39643858E+05      0.13563485E-03      0.24240803E-06       0       0
  74   0.19070851E+02     -0.71876392E-03       0.86088438E-02        0.39287543E+05      0.11923521E-03      0.22648685E-06       0       0
  75   0.19328565E+02     -0.66030154E-03       0.79193110E-02        0.38910000E+05      0.10484910E-03      0.21225941E-06       0       0
  76   0.19586280E+02     -0.60711489E-03       0.72856028E-02        0.38536184E+05      0.92236733E-04      0.19780964E-06       0       0
  77   0.19843994E+02     -0.55835373E-03       0.67028685E-02        0.38148886E+05      0.81141716E-04      0.18099360E-06       0       0
  78   0.20101708E+02     -0.51434682E-03       0.61665182E-02        0.37740000E+05      0.71379882E-04      0.16920974E-06       0       0
  79   0.20359422E+02     -0.47356283E-03       0.56725634E-02        0.37343305E+05      0.62774209E-04      0.15440667E-06       0       0
  80   0.20617136E+02     -0.43756921E-03       0.52169974E-02        0.36925023E+05      0.55212632E-04      0.14079078E-06       0       0
  81   0.20874851E+02     -0.40353496E-03       0.47964453E-02        0.36498995E+05      0.48531158E-04      0.12793560E-06       0       0
  82   0.21132565E+02     -0.37273593E-03       0.44083099E-02        0.36065221E+05      0.42636312E-04      0.11836987E-06       0       0
  83   0.21390279E+02     -0.34534285E-03       0.40492705E-02        0.35610000E+05      0.37433941E-04      0.10828207E-06       0       0
  84   0.21647993E+02     -0.31886165E-03       0.37171682E-02        0.35158943E+05      0.32855970E-04      0.96605413E-07       0       0
  85   0.21905707E+02     -0.29587261E-03       0.34098011E-02        0.34694185E+05      0.28822365E-04      0.88298258E-07       0       0
  86   0.22163422E+02     -0.27363068E-03       0.31250495E-02        0.34200000E+05      0.25271741E-04      0.79100770E-07       0       0
  87   0.22421136E+02     -0.25299299E-03       0.28617376E-02        0.33718193E+05      0.22151796E-04      0.70537953E-07       0       0
  88   0.22678850E+02     -0.23504598E-03       0.26177181E-02        0.33206959E+05      0.19408042E-04      0.62838401E-07       0       0
  89   0.22936564E+02     -0.21733534E-03       0.23915275E-02        0.32687979E+05      0.16988728E-04      0.55294924E-07       0       0
  90   0.23194278E+02     -0.20225108E-03       0.21817343E-02        0.32153508E+05      0.14847945E-04      0.49323923E-07       0       0
  91   0.23451993E+02     -0.18708984E-03       0.19870638E-02        0.31603544E+05      0.12947107E-04      0.42896042E-07       0       0
  92   0.23709707E+02     -0.17303506E-03       0.18070014E-02        0.31038089E+05      0.11269388E-04      0.37965231E-07       0       0
  93   0.23967421E+02     -0.16161450E-03       0.16396766E-02        0.30457141E+05      0.97774641E-05      0.33196290E-07       0       0
  94   0.24225135E+02     -0.14908787E-03       0.14843254E-02        0.29852956E+05      0.84582766E-05      0.28163050E-07       0       0
  95   0.24482850E+02     -0.13889664E-03       0.13403331E-02        0.29233278E+05      0.72902114E-05      0.24276381E-07       0       0
  96   0.24740564E+02     -0.12824164E-03       0.12067640E-02        0.28590363E+05      0.62605689E-05      0.20270874E-07       0       0
  97   0.24998278E+02     -0.11944599E-03       0.10829202E-02        0.27931956E+05      0.53587632E-05      0.17205637E-07       0       0
  98   0.25255992E+02     -0.11020149E-03       0.96809645E-03        0.27242565E+05      0.45775185E-05      0.14113732E-07       0       0
  99   0.25513706E+02     -0.10166491E-03       0.86216325E-03        0.26537682E+05      0.39031154E-05      0.11629009E-07       0       0
 100   0.25771421E+02     -0.93611106E-04       0.76452524E-03        0.25790000E+05      0.33178026E-05      0.96709529E-08       0       0
 101   0.26029135E+02     -0.87538259E-04       0.67395056E-03        0.25034964E+05      0.28050105E-05      0.74086959E-08       0       0
 102   0.26286849E+02     -0.80733080E-04       0.58981489E-03        0.24237130E+05      0.23545276E-05      0.58555605E-08       0       0
 103   0.26544563E+02     -0.74094013E-04       0.51240134E-03        0.23400565E+05      0.19591228E-05      0.45185189E-08       0       0
 104   0.26802277E+02     -0.67854972E-04       0.44142685E-03        0.22525271E+05      0.16154437E-05      0.33862468E-08       0       0
 105   0.27059992E+02     -0.62244578E-04       0.37637707E-03        0.21611247E+05      0.13171590E-05      0.25506708E-08       0       0
 106   0.27317706E+02     -0.56453357E-04       0.31702811E-03        0.20643001E+05      0.10635277E-05      0.17600144E-08       0       0
 107   0.27575420E+02     -0.51438880E-04       0.26308199E-03        0.19610000E+05      0.85503987E-06      0.12300605E-08       0       0
 108   0.27833134E+02     -0.46562059E-04       0.21408152E-03        0.18520000E+05      0.68126377E-06      0.81159524E-09       0       0
 109   0.28090848E+02     -0.41236812E-04       0.17018208E-03        0.17350965E+05      0.53439500E-06      0.50925930E-09       0       0
 110   0.28348563E+02     -0.37330567E-04       0.13089839E-03        0.16088373E+05      0.70014960E-06      0.28419489E-09       0       0
 111   0.28606277E+02     -0.32048747E-04       0.96208735E-04        0.14694099E+05      0.35747677E-06      0.15087931E-09       0       0
 112   0.28863991E+02     -0.28060256E-04       0.66154234E-04        0.13144905E+05      0.22493139E-06      0.67390538E-10       0       0
 113   0.29121705E+02     -0.22754771E-04       0.40746721E-04        0.11363333E+05      0.26153170E-06      0.25068836E-10       0       0
 114   0.29379419E+02     -0.17531557E-04       0.20603557E-04        0.92254463E+04      0.10978309E-06      0.63948846E-11       0       0
 115   0.29637134E+02     -0.11837779E-04       0.59188896E-05        0.63826766E+04      0.65046968E-07      0.48849813E-12       0       0
 116   0.29894848E+02      0.00000000E+00       0.00000000E+00        0.00000000E+00      0.00000000E+00      0.00000000E+00       0       0
 
