COLLISION_TYPE= 8
NUMBER_OF_CHANLS=    1
NUMBER_OF_STATES=      1
MATRIX_SIZE=         1
R_GRID_SIZE=  101
  #STATE #CHANNEL J12 M12  J1 K1A K1C  J2
       1        1   0   0   0   0   0   0
MIJ_INDEX ST_1 ST_2
        1    1    1
  #iR           R_COM(iR)
       1  83 -0.102860309491E-06
       1  84 -0.962435982767E-07
       1  85 -0.901162126984E-07
       1  86 -0.844373490976E-07
       1  87 -0.791699837060E-07
       1  88 -0.742804882191E-07
       1  89 -0.697382878791E-07
       1  90 -0.655155570096E-07
       1  91 -0.615869475607E-07
       1  92 -0.579293468167E-07
       1  93 -0.545216608750E-07
       1  94 -0.513446209436E-07
       1  95 -0.483806098590E-07
       1  96 -0.456135065483E-07
       1  97 -0.430285464288E-07
       1  98 -0.406121959849E-07
       1  99 -0.383520399671E-07
       1 100 -0.362366798386E-07
       1 101 -0.342556422645E-07
