energy#1, (U= 300.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.12129369E+02     -0.65244274E-02       0.52969747E-01        0.46830000E+05      0.67998516E-05      0.32196468E-12       0       0
  50   0.12376908E+02     -0.57260575E-02       0.46844504E-01        0.46230000E+05      0.42870824E-05      0.19984014E-12       0       0
  51   0.12624446E+02     -0.50382395E-02       0.41462356E-01        0.45630000E+05      0.78570392E-05      0.55511151E-12       0       0
  52   0.12871984E+02     -0.44437946E-02       0.36721339E-01        0.45015000E+05      0.44482580E-05      0.26645353E-12       0       0
  53   0.13119522E+02     -0.39283701E-02       0.32535256E-01        0.44370000E+05      0.41155656E-05      0.48849813E-12       0       0
  54   0.13367060E+02     -0.34802551E-02       0.28830944E-01        0.43710000E+05      0.62953984E-05      0.26645353E-12       0       0
  55   0.13614598E+02     -0.30894297E-02       0.25546101E-01        0.43020000E+05      0.39912654E-05      0.84376950E-12       0       0
  56   0.13862136E+02     -0.27477010E-02       0.22627536E-01        0.42315000E+05      0.39392707E-05      0.27755576E-12       0       0
  57   0.14109675E+02     -0.24479818E-02       0.20029694E-01        0.41580000E+05      0.38582499E-05      0.62172489E-12       0       0
  58   0.14357213E+02     -0.21843658E-02       0.17713521E-01        0.40815000E+05      0.51265523E-05      0.39968029E-12       0       0
  59   0.14604751E+02     -0.19520009E-02       0.15645337E-01        0.40035000E+05      0.37155020E-05      0.46629367E-12       0       0
  60   0.14852289E+02     -0.17465355E-02       0.13796069E-01        0.39225000E+05      0.47634044E-05      0.17763568E-12       0       0
  61   0.15099827E+02     -0.15642535E-02       0.12140675E-01        0.38370000E+05      0.49659384E-05      0.39968029E-12       0       0
  62   0.15347365E+02     -0.14023429E-02       0.10657376E-01        0.37500000E+05      0.34805165E-05      0.62172489E-12       0       0
  63   0.15594903E+02     -0.12579320E-02       0.93272391E-02        0.36585000E+05      0.33958435E-05      0.33306691E-12       0       0
  64   0.15842442E+02     -0.11287819E-02       0.81338822E-02        0.35625000E+05      0.33076319E-05      0.24424907E-12       0       0
  65   0.16089980E+02     -0.10130969E-02       0.70629428E-02        0.34635000E+05      0.61875444E-05      0.51070259E-12       0       0
  66   0.16337518E+02     -0.90909641E-03       0.61018461E-02        0.33600000E+05      0.31192737E-05      0.64392935E-12       0       0
  67   0.16585056E+02     -0.81521803E-03       0.52396889E-02        0.32505000E+05      0.30184035E-05      0.42188475E-12       0       0
  68   0.16832594E+02     -0.73036817E-03       0.44668958E-02        0.31365000E+05      0.29124578E-05      0.17763568E-12       0       0
  69   0.17080132E+02     -0.65334956E-03       0.37750369E-02        0.30165000E+05      0.50132967E-05      0.15543122E-12       0       0
  70   0.17327671E+02     -0.58309974E-03       0.31568123E-02        0.28890000E+05      0.26829071E-05      0.25535130E-12       0       0
  71   0.17575209E+02     -0.51897079E-03       0.26057770E-02        0.27555000E+05      0.40943936E-05      0.28865799E-12       0       0
  72   0.17822747E+02     -0.45984169E-03       0.21163708E-02        0.26115000E+05      0.24611729E-05      0.48849813E-12       0       0
  73   0.18070285E+02     -0.40511921E-03       0.16838903E-02        0.24570000E+05      0.22808047E-05      0.44408921E-12       0       0
  74   0.18317823E+02     -0.35399969E-03       0.13043309E-02        0.22890000E+05      0.25914791E-05      0.46629367E-12       0       0
  75   0.18565361E+02     -0.30590672E-03       0.97437765E-03        0.21060000E+05      0.19558214E-05      0.38857806E-12       0       0
  76   0.18812899E+02     -0.26003939E-03       0.69140459E-03        0.19035000E+05      0.17671923E-05      0.17763568E-12       0       0
  77   0.19060438E+02     -0.21520597E-03       0.45378191E-03        0.16725000E+05      0.34704555E-05      0.37747583E-12       0       0
  78   0.19307976E+02     -0.17000337E-03       0.26117724E-03        0.14010000E+05      0.13002658E-05      0.34416914E-12       0       0
  79   0.19555514E+02     -0.12105023E-03       0.11565044E-03        0.10560000E+05      0.28529461E-05      0.16653345E-12       0       0
  80   0.19803052E+02     -0.55110427E-04       0.27570115E-04        0.50700000E+04      0.63922021E-06      0.66613381E-13       0       0
  81   0.20050590E+02      0.00000000E+00       0.14901161E-07        0.13674000E+06      0.62660886E-12      0.00000000E+00       0       0
  82   0.20298128E+02      0.00000000E+00       0.14901161E-07        0.13722000E+06      0.59488183E-12      0.00000000E+00       0       0
  83   0.20545666E+02      0.14901161E-07       0.22351742E-07        0.13770000E+06      0.11382072E-11      0.00000000E+00       0       0
  84   0.20793205E+02      0.00000000E+00       0.29802322E-07        0.13816500E+06      0.47590546E-12      0.00000000E+00       0       0
  85   0.21040743E+02      0.00000000E+00       0.29802322E-07        0.13864500E+06      0.13483988E-11      0.00000000E+00       0       0
  86   0.21288281E+02      0.00000000E+00       0.29802322E-07        0.13911000E+06      0.60281358E-12      0.00000000E+00       0       0
  87   0.21535819E+02      0.00000000E+00       0.29802322E-07        0.13959000E+06      0.16339421E-11      0.00000000E+00       0       0
  88   0.21783357E+02     -0.14901161E-07       0.22351742E-07        0.14005500E+06      0.59091595E-12      0.00000000E+00       0       0
  89   0.22030895E+02      0.00000000E+00       0.14901161E-07        0.14052000E+06      0.12849447E-11      0.00000000E+00       0       0
  90   0.22278434E+02      0.14901161E-07       0.22351742E-07        0.14098500E+06      0.68213116E-12      0.00000000E+00       0       0
  91   0.22525972E+02     -0.14901161E-07       0.22351742E-07        0.14145000E+06      0.46004195E-12      0.00000000E+00       0       0
  92   0.22773510E+02      0.00000000E+00       0.14901161E-07        0.14191500E+06      0.90422038E-12      0.00000000E+00       0       0
  93   0.23021048E+02      0.00000000E+00       0.14901161E-07        0.14238000E+06      0.72178995E-12      0.00000000E+00       0       0
  94   0.23268586E+02      0.00000000E+00       0.14901161E-07        0.14283000E+06      0.66626765E-12      0.00000000E+00       0       0
  95   0.23516124E+02      0.00000000E+00       0.14901161E-07        0.14329500E+06      0.26571388E-12      0.00000000E+00       0       0
  96   0.23763662E+02      0.00000000E+00       0.14901161E-07        0.14374500E+06      0.92008389E-12      0.00000000E+00       0       0
  97   0.24011201E+02      0.00000000E+00       0.14901161E-07        0.14419500E+06      0.57901831E-12      0.00000000E+00       0       0
  98   0.24258739E+02      0.00000000E+00       0.14901161E-07        0.14466000E+06      0.10509579E-11      0.00000000E+00       0       0
  99   0.24506277E+02      0.00000000E+00       0.14901161E-07        0.14511000E+06      0.80903928E-12      0.00000000E+00       0       0
 100   0.24753815E+02      0.00000000E+00       0.14901161E-07        0.14556000E+06      0.42038316E-12      0.00000000E+00       0       0
 101   0.25001353E+02      0.00000000E+00       0.14901161E-07        0.14601000E+06      0.63454062E-12      0.00000000E+00       0       0
 102   0.25248891E+02      0.00000000E+00       0.14901161E-07        0.14646000E+06      0.13325353E-11      0.00000000E+00       0       0
 103   0.25496429E+02      0.00000000E+00       0.14901161E-07        0.14691000E+06      0.61867710E-12      0.00000000E+00       0       0
 104   0.25743968E+02      0.00000000E+00       0.14901161E-07        0.14734500E+06      0.69006292E-12      0.00000000E+00       0       0
 105   0.25991506E+02      0.14901161E-07       0.22351742E-07        0.14779500E+06      0.58695007E-12      0.00000000E+00       0       0
 106   0.26239044E+02      0.00000000E+00       0.29802322E-07        0.14823000E+06      0.78524401E-12      0.00000000E+00       0       0
 107   0.26486582E+02      0.00000000E+00       0.29802322E-07        0.14868000E+06      0.14039211E-11      0.00000000E+00       0       0
 108   0.26734120E+02      0.00000000E+00       0.29802322E-07        0.14911500E+06      0.58695007E-12      0.00000000E+00       0       0
 109   0.26981658E+02     -0.14901161E-07       0.22351742E-07        0.14955000E+06      0.84869807E-12      0.00000000E+00       0       0
 110   0.27229197E+02     -0.14901161E-07       0.74505806E-08        0.14998500E+06      0.14277164E-11      0.00000000E+00       0       0
 111   0.27476735E+02      0.14901161E-07       0.74505806E-08        0.15043500E+06      0.11818319E-11      0.00000000E+00       0       0
 112   0.27724273E+02      0.00000000E+00       0.14901161E-07        0.15087000E+06      0.57901831E-12      0.00000000E+00       0       0
 113   0.27971811E+02      0.14901161E-07       0.22351742E-07        0.15129000E+06      0.66626765E-12      0.00000000E+00       0       0
 114   0.28219349E+02      0.00000000E+00       0.29802322E-07        0.15172500E+06      0.90422038E-12      0.00000000E+00       0       0
 115   0.28466887E+02      0.00000000E+00       0.29802322E-07        0.15216000E+06      0.80110753E-12      0.00000000E+00       0       0
 116   0.28714425E+02      0.00000000E+00       0.29802322E-07        0.15259500E+06      0.13404670E-11      0.00000000E+00       0       0
 117   0.28961964E+02      0.00000000E+00       0.29802322E-07        0.15301500E+06      0.10945826E-11      0.00000000E+00       0       0
 118   0.29209502E+02      0.00000000E+00       0.29802322E-07        0.15345000E+06      0.70592643E-12      0.00000000E+00       0       0
 119   0.29457040E+02      0.00000000E+00       0.29802322E-07        0.15387000E+06      0.39658788E-12      0.00000000E+00       0       0
 120   0.29704578E+02      0.00000000E+00       0.29802322E-07        0.15430500E+06      0.48780310E-12      0.00000000E+00       0       0
 121   0.29952116E+02     -0.14901161E-07       0.22351742E-07        0.15472500E+06      0.12373542E-11      0.00000000E+00       0       0
 122   0.30199654E+02     -0.14901161E-07       0.74505806E-08        0.15514500E+06      0.54729128E-12      0.00000000E+00       0       0
 123   0.30447192E+02      0.00000000E+00       0.00000000E+00        0.15556500E+06      0.95181092E-12      0.00000000E+00       0       0
 124   0.30694731E+02      0.14901161E-07       0.74505806E-08        0.15598500E+06      0.16736009E-11      0.00000000E+00       0       0
 125   0.30942269E+02      0.00000000E+00       0.14901161E-07        0.15640500E+06      0.10350944E-11      0.00000000E+00       0       0
 126   0.31189807E+02      0.00000000E+00       0.14901161E-07        0.15682500E+06      0.12056272E-11      0.00000000E+00       0       0
 127   0.31437345E+02      0.00000000E+00       0.14901161E-07        0.15724500E+06      0.14118529E-11      0.00000000E+00       0       0
 128   0.31684883E+02      0.00000000E+00       0.14901161E-07        0.15766500E+06      0.12056272E-11      0.00000000E+00       0       0
 129   0.31932421E+02      0.00000000E+00       0.14901161E-07        0.15807000E+06      0.57108655E-12      0.00000000E+00       0       0
 130   0.32179960E+02      0.00000000E+00       0.14901161E-07        0.15849000E+06      0.15387610E-11      0.00000000E+00       0       0
 131   0.32427498E+02      0.00000000E+00       0.14901161E-07        0.15889500E+06      0.58695007E-12      0.00000000E+00       0       0
 132   0.32675036E+02      0.00000000E+00       0.14901161E-07        0.15931500E+06      0.13483988E-11      0.00000000E+00       0       0
 133   0.32922574E+02     -0.14901161E-07       0.74505806E-08        0.15972000E+06      0.85662983E-12      0.00000000E+00       0       0
 134   0.33170112E+02      0.00000000E+00       0.00000000E+00        0.16012500E+06      0.12056272E-11      0.00000000E+00       0       0
 135   0.33417650E+02      0.00000000E+00       0.00000000E+00        0.16054500E+06      0.97560620E-12      0.00000000E+00       0       0
 136   0.33665188E+02      0.00000000E+00       0.00000000E+00        0.16095000E+06      0.10549238E-11      0.00000000E+00       0       0
 137   0.33912727E+02      0.00000000E+00       0.00000000E+00        0.16135500E+06      0.10350944E-11      0.00000000E+00       0       0
 138   0.34160265E+02      0.00000000E+00       0.00000000E+00        0.16176000E+06      0.11580366E-11      0.00000000E+00       0       0
